,Компания,Общая тема,Подтема,Заголовок,Новость
1339,"ОАО ""ЯМАЛ СПГ""",Деловая тематика,Добыча газа,Air Products объявила об успешных испытаниях на подтверждение характеристик технологии СПГ AP-DMR ™ на заводе FLNG Coral South,"…Это второй по величине плавучий завод СПГ в мире. Участие Air Products в этом проекте началось в 2013 году с концептуальных работ, в результате которых была выбрана технология и оборудование для СПГ AP-DMR, включая поставку двух защищенных патентами основных криогенных теплообменников ( CWHE), один для предварительного охлаждения и один для сжижения в рамках завода. Теплообменники CWHE для проекта Coral South были изготовлены на заводе Air Products по производству оборудования для СПГ в Порт-Манати, штат Флорида. …"
1340,"ОАО ""ЯМАЛ СПГ""",Деловая тематика,НДПИ,"Евросоюз похож на идиота: США ликуют, что ЕС запретил российский гелий, который добывают только две страны – мы и Америка","…Экспортной пошлины на СПГ у нас вообще нет, этого даже в Налоговом кодексе нет. НДПИ на газ и другие налоги обнулены и для ""Ямал-СПГ"", и для ""Арктик СПГ-2"" либо льготные ставки. Бюджету в краткосрочной перспективе все равно есть или нет эти проекты, потому что они еще несколько лет не будут платить. …"
1341,"ОАО ""ЯМАЛ СПГ""",Деловая тематика,Переработка газа,"Форум ""Арктические проекты – сегодня и завтра"", 18-19 октября 2018 года, г. Архангельск","…Основное внимание на форуме будет уделено вопросам реализации масштабных проектов на территориях Арктической зоны. В последние годы в Заполярье построены и успешно функционируют такие крупные промышленные объекты, как МЛСП ""Приразломная"", Варандейский терминал, терминал ""Ворота Арктики"", комплекс для добычи и сжижения природного газа ""Ямал СПГ"", новый морской порт Сабетта. Начата реализация проекта ""Арктик СПГ-2"" и связанное с этим создание Центра строительства крупнотоннажных морских сооружений под Мурманском, идет подготовка к освоению нефтегазового месторождения Каменномысское-море и разработке Павловского свинцово-цинкового месторождения на Новой Земле. …"
1342,"ОАО ""ЯМАЛ СПГ""",Деловая тематика,Переработка газа,Air Products объявила об успешных испытаниях на подтверждение характеристик технологии СПГ AP-DMR ™ на заводе FLNG Coral South,"…Это второй по величине плавучий завод СПГ в мире. Участие Air Products в этом проекте началось в 2013 году с концептуальных работ, в результате которых была выбрана технология и оборудование для СПГ AP-DMR, включая поставку двух защищенных патентами основных криогенных теплообменников ( CWHE), один для предварительного охлаждения и один для сжижения в рамках завода. Теплообменники CWHE для проекта Coral South были изготовлены на заводе Air Products по производству оборудования для СПГ в Порт-Манати, штат Флорида. …"
1343,"ОАО ""ЯМАЛ СПГ""",Деловая тематика,Создание предприятия или производства,Бывшего владельца оператора газификации Читы арестовали по делу о мошенничестве,"…Газ в Читу будет доставляться железной дорогой со строящегося завода СПГ в ТОР ""Надеждинская"" ( сейчас - ""Приморье"", Приморский край). Завод строит ВАНК, проектная мощность - 45 тыс. тонн СПГ в год. ""Восточно-Арктическая нефтегазовая корпорация"" занимается проектами в Забайкальском, Приморском и Хабаровском краях, которые легли в основу мастер-планов по формированию нового ряда городов Дальнего Востока, в том числе строительством по концессии школ и детских садов. …"
1344,"ОАО ""ЯМАЛ СПГ""",Деловая тематика,Создание предприятия или производства,Достойные результаты: как нефтяники отчитались за 2023 год,"…Он в средне- и долгосрочной перспективе поможет компании существенно увеличить свой бизнес.""Роснефть"" построит большой завод СПГ: чего ждать 7Также триггером роста котировок некоторых компаний – тех же ""Роснефти"", ""Лукойла"", ""Татнефти"" – может стать возможный обратный выкуп акций у нерезидентов. …"
1345,"ОАО ""ЯМАЛ СПГ""",Деловая тематика,Строительство,Бывшего владельца оператора газификации Читы арестовали по делу о мошенничестве,"…Газ в Читу будет доставляться железной дорогой со строящегося завода СПГ в ТОР ""Надеждинская"" ( сейчас - ""Приморье"", Приморский край). Завод строит ВАНК, проектная мощность - 45 тыс. тонн СПГ в год. ""Восточно-Арктическая нефтегазовая корпорация"" занимается проектами в Забайкальском, Приморском и Хабаровском краях, которые легли в основу мастер-планов по формированию нового ряда городов Дальнего Востока, в том числе строительством по концессии школ и детских садов. …"
1346,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Дебиторская задолженность,Энергетический спрут может задушить страну,"…Проверяющие, думается, также попросят объяснить, почему при полной оплате потребителями электроэнергии, РАО ""ЕЭС"", собирающее эти средства, не полностью переводит ""Росэнергоатому"" причитающиеся ему суммы за поставки электроэнергии на оптовый рынок (долг ""атомщикам"" к началу апреля с.г. достиг 11,6 млрд. рублей), а также не полностью выплачивает налоги, и где крутятся эти деньги? И еще, очевидно, аудиторы Счетной палаты поинтересуются, почему вместо топлива РАО ""ЕЭС"" на средства потребителей приобрело акции телекомпании РЕН-ТВ, а также громадное офисное здание ""Нефтяной дом"" на Юго-Западе Москвы, высотой более чем в два десятка этажей, причем без всякого технико-экономического обоснования его пригодности для специфических нужд компании. Обе покупки обошлись, по сообщениям СМИ, в 200 млн. долларов. …"
1347,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Подряды,С душой и сердцем к… безопасности,"…ДЛЯ СПРАВКИ АО ""Атомэнергоремонт"" ( дочернее общество АО ""Концерн ""Росэнергоатом"") – головная специализированная ремонтная организация атомно-энергетической отрасли России, генеральный подрядчик по техническому обслуживанию и ремонту оборудования атомных станций и других промышленных и энергетических предприятий – выполняет более 70% ремонтных работ на площадках АЭС АО ""Концерн ""Росэнергоатом"". …"
1348,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Проверки,Смоленская АЭС: успешно завершена проверка выполнения программы обеспечения качества,"…Эксперты проверили работу атомной станции в области обеспечения качества и соответствия нормам национального стандарта и общим требованиям безопасности МАГАТЭ. Комиссия посетила производственные подразделения, провела беседы с персоналом и изучила документацию. По итогам проверки эксперты отметили высокий уровень системы обеспечения качества на Смоленской АЭС. …"
1349,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Проверки,Смоленская АЭС успешно прошла проверку выполнения программы обеспечения качества,"…По итогам проверки было заявлено, что Смоленская АЭС в полном объеме выполняет требования программ обеспечения качества ( ПОКАС) и соответствует нормам национального стандарта ГОСТ Р ИСО 9001-2015 и общим требованиям безопасности МАГАТЭ № GSR Part 2. Как отметила на итоговом совещании заместитель председателя комиссии, главный эксперт отдела развития интегрированной системы управления департамента качества Росэнергоатома Наталья Юртаева, система обеспечения качества на Смоленской АЭС ""выстроена на высоком уровне, функционирует в достаточном объеме, чтобы поддерживать работу атомной станции на должном уровне"". В ходе проверки была отмечена сильная сторона, которая касается подготовки персонала. …"
1350,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Проверки,"""Росэнергоатом"" провел выездную проверку на Смоленской АЭС","…Эксперты посетили производственные подразделения, провели беседы с персоналом, ознакомились с документацией. Как отметила на итоговом совещании заместитель председателя комиссии, главный эксперт отдела развития интегрированной системы управления департамента качества концерна Наталья Юртаева, система обеспечения качества на Смоленской АЭС выстроена на высоком уровне, функционирует в достаточном объеме, чтобы поддерживать работу атомной станции на должном уровне. В ходе проверки отмечена сильная сторона, которая касается подготовки персонала. …"
1351,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Производство электроэнергии,5 мая – День рождения Захарцева Андрея Владимировича!,"…В 1996 году поступил на военную службу, которую проходил по 2009 год. С 2009 по 2012 годы работал заместителем директора по режиму филиала ОАО ""Концерн Росэнергоатом"" ""Дирекция строящейся Белоярской АЭС"". С 2012 по 2013 годы являлся начальником отдела физической защиты ядерных материалов Управления физической защиты и охраны ядерных материалов Госкорпорации ""Росатом"". …"
1352,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Производство электроэнергии,Консорциум - дело серьезное!,"…Здесь юные советчане изучают здесь робототехнику и программирование. Лицей активно сотрудничает со строящейся Балтийской АЭС Концерна ""Росэнергоатом"". В ""Атомклассе"" лицеисты готовят проекты инженерно-технологического направления и успешно побеждают с ними на региональных и всероссийских конкурсах. …"
1353,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Производство электроэнергии,"Росэнергоатом принял участие в памятных мероприятиях, посвященных годовщине событий на Чернобыльской АЭС","…Мероприятие организовано Госкорпорацией ""Росатом"", МЧС России, ""Союзом ""Чернобыль"" России"" и другими федеральными органами исполнительной власти. В частности, в Москве руководители и ветераны Центрального аппарата Концерна ""Росэнергоатом"" (Электроэнергетический дивизион ""Росатома""), коллеги погибших ликвидаторов последствий аварии на Чернобыльской АЭС, руководители Центрального аппарата МЧС России и общероссийского союза общественных объединений ""Союз ""Чернобыль"" России"" почтили память погибших минутой молчания и возложили цветы к памятнику Героям Чернобыля на Поклонной горе. Жертв трагических событий вспоминали и на Митинском кладбище у Мемориала первым погибшим от катастрофы на Чернобыльской АЭС. …"
1354,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Сбыт электроэнергии,"Потребление электроэнергии в Смоленской области до 2030г будет расти на 0,37% в год","…Кроме того, предусмотрен перечень мероприятий по развитию электрических сетей напряжением 110 кВ и выше. Так, для обеспечения электроснабжения строительной площадки филиала АО ""Концерн Росэнергоатом"" ""Смоленская атомная станция"" мощностью 17 МВт, используемой для сооружения энергоблоков № 1, 2 Смоленской АЭС-2, предусмотрены мероприятия по строительству ПС 110 кВ ""Пятидворка"" со сроком выполнения в 2024 году. Кроме того, на 2026 год запланирована комплексная реконструкция ПС-220 кВ ""Смоленск-1"" с заменой трансформатора мощностью 40 МВА и трансформатора мощностью 40,5 МВА на два трансформатора мощностью 63 МВА каждый. …"
1355,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Сбыт электроэнергии,"Электропотребление в Смоленской области достигнет 6,7 млрд кВт·ч к 2029 году","…В СиПР ЭЭС на 2024-2029 гг. предусмотрен перечень перспективных мероприятий по развитию электрических сетей напряжением 110 кВ и выше, необходимых для обеспечения технологического присоединения объектов по производству электрической энергии и энергопринимающих устройств потребителей, а также объектов электросетевого хозяйства к электрическим сетям на территории Смоленской области. Так, для обеспечения электроснабжения строительной площадки филиала АО ""Концерн Росэнергоатом"" ""Смоленская атомная станция"" мощностью 17 МВт, используемой для сооружения энергоблоков № 1, 2 Смоленской АЭС-2, предусмотрены мероприятия по строительству ПС 110 кВ Пятидворка с двумя трансформаторами 110/10 кВ мощностью 25 МВА каждый и отпаек от ВЛ 110 кВ Десногорск – Рославль-110 с отпайкой на ПС Пятидворка и ВЛ 110 кВ Ельня – Барсуки с отпайкой на ПС Лапино со сроком выполнения в 2024 году. Для разработки комплексных технических решений по усилению электрической сети, необходимых в том числе для обеспечения прогнозного потребления электрической энергии и мощности, а также для обеспечения надежного и эффективного функционирования ЕЭС России, на 2026 год запланирована комплексная реконструкция ПС 220 кВ Смоленск 1 с заменой трансформаторов Т-1 мощностью 40 МВА и Т-2 мощностью 40,5 МВА на два трансформатора мощностью 63 МВА каждый. …"
1356,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Сбыт электроэнергии,Энергетический спрут может задушить страну,"…Проверяющие, думается, также попросят объяснить, почему при полной оплате потребителями электроэнергии, РАО ""ЕЭС"", собирающее эти средства, не полностью переводит ""Росэнергоатому"" причитающиеся ему суммы за поставки электроэнергии на оптовый рынок (долг ""атомщикам"" к началу апреля с.г. достиг 11,6 млрд. рублей), а также не полностью выплачивает налоги, и где крутятся эти деньги? И еще, очевидно, аудиторы Счетной палаты поинтересуются, почему вместо топлива РАО ""ЕЭС"" на средства потребителей приобрело акции телекомпании РЕН-ТВ, а также громадное офисное здание ""Нефтяной дом"" на Юго-Западе Москвы, высотой более чем в два десятка этажей, причем без всякого технико-экономического обоснования его пригодности для специфических нужд компании. Обе покупки обошлись, по сообщениям СМИ, в 200 млн. долларов. …"
1357,"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",Деловая тематика,Создание предприятия или производства,"В Ленобласти открылась Вахта памяти-2024 концерна ""Росэнергоатом""","…В день открытия патриотического мероприятия прошли торжественный митинг и возложение цветов к мемориалу ""Берег мужественных"" в деревне Керново. ""Ленинградская АЭС много лет поддерживает движение по увековечению памяти погибших героев, – отметил директор ЛАЭС Владимир Перегуда. – Благодарим участников поисковых отрядов из городов присутствия концерна ""Росэнергоатом"" за сохранение исторической памяти"". Стоит добавить, что поисковой работе в 47-м регионе большое внимание уделяет местное правительство. …"
1358,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Добыча нефти,"""ЛУКОЙЛ-Пермь"" заменит газовые турбины Capstone на отечественные","…Газотурбинные энергоустановки работают в автоматическом режиме как параллельно с энергосетью, так и автономно. ""ЛУКОЙЛ-Пермь"" после реорганизации в форме присоединения ""ЛУКОЙЛ-Коми"" владеет лицензиями на геологическое изучение, разведку и добычу углеводородов на территории Пермского края, Удмуртии, Башкирии и Коми, а также Ненецкого автономного округа. Текущие извлекаемые запасы по всем категориям составляют более 1 млрд тонн нефти. …"
1359,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Добыча нефти,ЛУКОЙЛ вложится в геологоразведку Тимано-Печоры,"…Добыча газа увеличилась на 1% – до 3,5 млрд кубометров.В 2023 года ""ЛУКОЙЛ-Коми"" присоединили к более крупной ""ЛУКОЙЛ-ПЕРМИ"". Последняя теперь владеет лицензиями на участки недр в Пермском крае, Удмуртии, Башкирии, Коми, а также Ненецком автономном округе (НАО). …"
1360,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Добыча нефти,ЛУКОЙЛ вложится в геологоразведку Тимано-Печоры. Компания ищет ключи к сложным месторождениям.,"…Добыча газа увеличилась на 1% – до 3,5 млрд кубометров. В 2023 года ""ЛУКОЙЛ-Коми"" присоединили к более крупной ""ЛУКОЙЛ-ПЕРМИ"". Последняя теперь владеет лицензиями на участки недр в Пермском крае, Удмуртии, Башкирии, Коми, а также Ненецком автономном округе (НАО). …"
1361,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Переработка газа,"Более 150 километров трубопровода компании ""Газпром добыча Краснодар"" продиагностировали специалисты в Республике Коми","…СМТ № 10 ЛПУМТ имеет большое производственное значение. По ней транспортируется природный газ со всех месторождений Общества в Республике Коми, а также попутный нефтяной газ ""ЛУКОЙЛ-Коми"" на Сосногорский газоперерабатывающий завод ООО ""Газпром переработка"". Поэтому крайне важно выполнять диагностику качественно, в полном объеме и в установленный срок.…"
1362,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Реорганизация,"""ЛУКОЙЛ-Пермь"" заменит газовые турбины Capstone на отечественные","…Газотурбинные энергоустановки работают в автоматическом режиме как параллельно с энергосетью, так и автономно. ""ЛУКОЙЛ-Пермь"" после реорганизации в форме присоединения ""ЛУКОЙЛ-Коми"" владеет лицензиями на геологическое изучение, разведку и добычу углеводородов на территории Пермского края, Удмуртии, Башкирии и Коми, а также Ненецкого автономного округа. Текущие извлекаемые запасы по всем категориям составляют более 1 млрд тонн нефти. …"
1363,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Рост производства,ЛУКОЙЛ вложится в геологоразведку Тимано-Печоры,"…Добыча газа увеличилась на 1% – до 3,5 млрд кубометров.В 2023 года ""ЛУКОЙЛ-Коми"" присоединили к более крупной ""ЛУКОЙЛ-ПЕРМИ"". Последняя теперь владеет лицензиями на участки недр в Пермском крае, Удмуртии, Башкирии, Коми, а также Ненецком автономном округе (НАО). …"
1364,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Рост производства,ЛУКОЙЛ вложится в геологоразведку Тимано-Печоры. Компания ищет ключи к сложным месторождениям.,"…Добыча газа увеличилась на 1% – до 3,5 млрд кубометров. В 2023 года ""ЛУКОЙЛ-Коми"" присоединили к более крупной ""ЛУКОЙЛ-ПЕРМИ"". Последняя теперь владеет лицензиями на участки недр в Пермском крае, Удмуртии, Башкирии, Коми, а также Ненецком автономном округе (НАО). …"
1365,"ООО ""ЛУКОЙЛ-КОМИ""",Деловая тематика,Транспортировка газа,"Более 150 километров трубопровода компании ""Газпром добыча Краснодар"" продиагностировали специалисты в Республике Коми","…СМТ № 10 ЛПУМТ имеет большое производственное значение. По ней транспортируется природный газ со всех месторождений Общества в Республике Коми, а также попутный нефтяной газ ""ЛУКОЙЛ-Коми"" на Сосногорский газоперерабатывающий завод ООО ""Газпром переработка"". Поэтому крайне важно выполнять диагностику качественно, в полном объеме и в установленный срок.…"
1366,"ООО ""ЛЕНТА""",Корпоративные проблемы,Закрытие предприятия или производства,В Сыктывкаре Лента уже пустая,"…С 67 работниками достигнуты договоренности о расторжении трудовых отношений, и при увольнении они получат все выплаты, предусмотренные законодательством. ДОбавим, что за соблюдением трудовых прав людей в связи с закрытием ""Ленты"" ведет контроль прокуратура Коми. В случае выявления нарушений законодательства о труде будут приняты меры прокурорского реагирования. …"
1367,"ООО ""ЛЕНТА""",Корпоративные проблемы,Контекстный негатив,В Орле появятся две новые камеры фотовидеофиксации нарушений ПДД,"…Потенциальный поставщик определится после 10 мая. Согласно документации тендера, новые камеры фотовидеофиксации нарушений ПДД будут установлены в Орле по двум точкам: на пересечении Наугорского шоссе с ул. Цветаева; на пересечении Московского шоссе с пер. Межевым (неподалеку от магазина ""Лента""). Гарантийный срок на оборудование должен составлять не менее 2 лет. …"
1368,"ООО ""ЛЕНТА""",Другие происшествия,Падение курса акций,"Рынок акций РФ просел ниже 3430п по индексу МосБиржи на отсечке ЛУКОЙЛа, выросла Транснефть (версия 2)","…""Израильский военный кабинет единогласно проголосовал за продолжение подготовки операции в Рафахе с целью военного давления на ХАМАС для прогресса в освобождении заложников и достижении целей войны"", - цитирует The Times of Israel заявление офиса израильского премьер-министра Биньямина Нетаньяху.Во ""втором эшелоне"" на Мосбирже снизились акции ""М.Видео"" (MOEX: MVID) (-11,2%, до 183,2 рубля), ПАО ""Левенгук"" (MOEX: LVHK) (-5,6%), ПАО ""ТНС Энерго Воронеж"" (MOEX: VRSB) (-3%), ПАО ""Ковровский механический завод"" (MOEX: KMEZ) (-2,9%), ПАО ""Рязанская энергетическая сбытовая компания"" (MOEX: RZSB) (-2,9%), расписки Qiwi (MOEX: QIWI) (-2,8%), бумаги ПАО ""РН-Западная Сибирь"" (MOEX: CHGZ) (-2,7%), МКПАО ""Лента"" (MOEX: LNTA) (-2,5%).Акции ""М.Видео"" упали на фоне информации в материалах компании, что совет директоров ""М.Видео-Эльдорадо"" планирует 7 мая обсудить увеличение уставного капитала посредством размещения дополнительных обыкновенных акций.…"
1369,"ООО ""ЛЕНТА""",Другие происшествия,Падение курса акций,"Рынок акций РФ днем консолидируется у 3420п по индексу МосБиржи, упал ЛУКОЙЛ, выросла Транснефть","…В результате он будет стоить на $2,9 больше, чем корзина нефти Омана и Дубая, говорится в сообщении Saudi Aramco.Во ""втором эшелоне"" на Мосбирже снизились акции ""М.Видео"" (MOEX: MVID) (-9,7%, до 186,3 рубля), ПАО ""Левенгук"" (MOEX: LVHK) (-4,2%), ПАО ""Ютэйр"" (MOEX: UTAR) (-3,4%), ПАО ""РН-Западная Сибирь"" (MOEX: CHGZ) (-2,7%), ПАО ""Бурятзолото"" (MOEX: BRZL) (-2,6%), МКПАО ""Лента"" (MOEX: LNTA) (-2,5%).Акции ""М.Видео"" упали на фоне информации в материалах компании, что совет директоров ""М.Видео-Эльдорадо"" планирует 7 мая обсудить увеличение уставного капитала посредством размещения дополнительных обыкновенных акций.…"
1370,"ООО ""ЛЕНТА""",Другие происшествия,Пожары,"В Челябинске произошел пожар в гипермаркете ""Лента""","… В гипермаркете ""Лента"" на улице Блюхера в Челябинске загорелся поддон с пищевой солью. Из здания эвакуировались 100 человек, сообщает пресс-служба ГУ МЧС России по Челябинской области. …"
1371,"ООО ""ЛЕНТА""",Деловая тематика,Модернизация и развитие,В России начали блокировать просроченное молоко прямо на кассе,"…Крупные торговые сети, такие как ""Магнит"" и ""Лента"", уже внедрили систему ""Честный знак"" и не испытывают проблем с ее работой. По словам представителей ""Ленты"", система не влияет на скорость обслуживания покупателей и позволяет оптимизировать бизнес-процессы.Система ""Честный знак"" является частью государственной системы маркировки товаров, которая призвана защитить потребителей от контрафакта и некачественной продукции. …"
1372,"ООО ""ЛЕНТА""",Деловая тематика,Модернизация и развитие,"""Лента"" повысила эффективность выкладки в гипермаркетах благодаря переходу на схемограммы","…По результатам тестирования инструмента нам удалось сэкономить в среднем 48% времени сотрудников на выкладку товаров, поэтому мы внедряем решение во всех направлениях"", – рассказала директор по мерчандайзингу и управлению торговым пространством гипермаркетов ""Ленты"" Марина Андронаки. До конца июня ""Лента"" внедрит схемограммы во всех категориях во всех гипермаркетах компании. …"
1373,"ООО ""ЛЕНТА""",Деловая тематика,Модернизация и развитие,"Система ""Честный знак"" станет обязательной для всех розничных магазинов","…Данная мера защищает не только покупателей, но и помогает надзорным органам.Большие торговые сети, такие как ""Магнит"" и ""Лента"", уже внедрили систему ""Честный знак"" и не испытывают проблем с ее работой. Они отмечают, что эта система не влияет на скорость обслуживания покупателей и позволяет оптимизировать бизнес-процессы.…"
1374,"ООО ""ЛЕНТА""",Деловая тематика,Проекты,"""Лента"" и ""Дари еду!"" увеличили объем продуктов, собранных для нуждающихся","…Это на 50% больше, чем годом раньше. ""Лента"" начала сотрудничество с проектом ""Дари еду!"" в октябре 2019 года. Каждый покупатель может приобрести товары с длительным сроком хранения и оставить их в специальном контейнере или тележке за кассовой линейкой магазина. …"
1375,"ООО ""ЛЕНТА""",Деловая тематика,Рост курса акций,"Рынок акций РФ начал неделю с умеренного снижения по индексу МосБиржи на укреплении рубля, вырос ""Полюс""","…Во ""втором эшелоне"" на Мосбирже снизились после отсечки дивидендов акции банка ""Санкт-Петербург"" (-7,2%, до 313,57 рубля; выплаты - 23,37 рубля на акцию), также просели расписки Qiwi (-7,3%), бумаги банка ""Приморье"" (-7%), ""Глобалтрак менеджмент"" (-5,3%), расписки HeadHunter (-3,2%), ЦИАН (-3,1%), ""префы"" ""ОМЗ"" (-3%), акции ПАО ""Новороссийский комбинат хлебопродуктов"" (-2,8%), ""АГ Кристалл"" (-2,8%).Выросли акции ПАО ""Левенгук"" (+11,9%), ПАО ""ЮТэйр"" (+8,1%), ПАО ""Россети Урал"" (+8%, до 0,6726 рубля), ""Русснефти"" (+7,2%), ПАО ""РН-Западная Сибирь"" (+6,3%), ПАО ""ММЦБ"" (+6,3%), банка ""Уралсиб"" (+6%), МКПАО ""Лента"" (+5,5%), ПАО ""Рязанская энергетическая сбытовая компания"" (+5%), ПАО ""Россети Ленэнерго"" (+4,5% и +4,9% ""префы"").Совет директоров ПАО ""Россети Урал"" рекомендовал акционерам на годовом собрании 31 мая принять решение о выплате дивидендов за 2023 год из расчета по 0,05441 рубля на каждую обыкновенную акцию. …"
1376,"ООО ""ЛЕНТА""",Деловая тематика,Рост курса акций,"Рынок акций РФ утром подрос на бумагах металлургов и ""Газпрома"", индекс МосБиржи превысил 3475п","…В четверг поддержку нефтяным котировкам оказывают слухи о том, что правительство США готовится пополнить стратегические резервы по цене не выше $79 за баррель, пишет Trading Economics.Во ""втором эшелоне"" на Мосбирже выросли акции ПАО ""Инград"" (MOEX: OPIN) (+12,7%), ПАО ""РБК"" (MOEX: RBCM) (+6,2%), ""Соллерса"" (MOEX: SVAV) (+5,7%), ПАО ""Бурятзолото"" (MOEX: BRZL) (+5,3%), МКПАО ""Лента"" (MOEX: LNTA) (+4,4%), банка ""Уралсиб"" (MOEX: USBN) (+4%).Выросли акции SFI (MOEX: SFIN) (+1,8%, до 1610,4 рубля). …"
1377,"ООО ""ЛЕНТА""",Деловая тематика,Рост курса акций,Рынок акций РФ днем просел к 3460п по индексу МосБиржи на укреплении рубля,"…Дивиденды будут выплачены из чистой прибыли по РСБУ за прошлый год, которая составила 6,167 млрд рублей.Выросли акции ""Соллерса"" (+12,8%), ПАО ""Инград"" (MOEX: OPIN) (+12,3%), ПАО ""Астраханьэнергосбыт"" (MOEX: ASSB) (+6,7%), МКПАО ""Лента"" (MOEX: LNTA) (+4,6%), ПАО ""Россети Урал"" (MOEX: MRKU) (+3,9%), ПАО ""Центральный телеграф"" (MOEX: CNTL) (+3,6%), ПАО ""РБК"" (MOEX: RBCM) (+3,4%), ПАО ""Бурятзолото"" (MOEX: BRZL) (+3,2%).Акции ""Соллерса"" выросли после опубликования финансового отчета по МСФО за 2023 год: чистая прибыль составила 4,9 млрд руб. …"
1378,"ООО ""ЛЕНТА""",Деловая тематика,Рост курса акций,Рынок акций РФ к вечеру откатился к 3440п по индексу МосБиржи на упавших бумагах Газпрома после финотчета,"…Совет директоров компании рекомендовал дивиденды за 2023 год в размере 20,6 руб. на акцию (дивдоходность 1,3% годовых - прим. ИФ), закрытие реестра под выплаты - 17 июня.Выросли расписки Qiwi (+21,8%), акции ""Соллерса"" (+10,4%), ПАО ""Россети Урал"" (MOEX: MRKU) (+4,4%), ПАО ""РБК"" (MOEX: RBCM) (+3,4%), ПАО ""Центральный телеграф"" (MOEX: CNTL) (+3,2%), ПАО ""Пермэнергосбыт"" (MOEX: PMSB) (+3,2%), МКПАО ""Лента"" (MOEX: LNTA) (+2,7%).Расписки Qiwi подскочили на новости о том, что Арбитражный суд Москвы отказал Агентству по страхованию вкладов ( АСВ, ликвидатор Киви банка) в оспаривании договора купли-продажи акций АО ""Киви"", а также в признании недействительным договора залога и обременения этих акций.…"
